,country,all_articles_count,high_qual_articles_count,population,coverage,quality
85,Kuwait,37,1.0,4200000.0,8.80952380952381e-06,0.02702702702702703
86,Kyrgyzstan,70,3.0,6100000.0,1.1475409836065573e-05,0.04285714285714286
87,Laos,107,3.0,7000000.0,1.5285714285714286e-05,0.028037383177570093
88,Latvia,56,1.0,1900000.0,2.9473684210526317e-05,0.017857142857142856
89,Lebanon,186,7.0,6100000.0,3.0491803278688524e-05,0.03763440860215054
90,Lesotho,29,0.0,2300000.0,1.2608695652173914e-05,0.0
91,Liberia,155,4.0,4900000.0,3.163265306122449e-05,0.025806451612903226
92,Libya,110,4.0,6500000.0,1.6923076923076924e-05,0.03636363636363636
93,Liechtenstein,28,0.0,40000.0,0.0007,0.0
94,Lithuania,244,1.0,2800000.0,8.714285714285714e-05,0.004098360655737705
95,Luxembourg,178,1.0,600000.0,0.00029666666666666665,0.0056179775280898875
96,Macedonia,65,0.0,2100000.0,3.095238095238095e-05,0.0
97,Madagascar,236,6.0,26300000.0,8.973384030418252e-06,0.025423728813559324
98,Malawi,122,3.0,19100000.0,6.387434554973822e-06,0.02459016393442623
99,Malaysia,388,7.0,32500000.0,1.1938461538461539e-05,0.01804123711340206
100,Maldives,83,1.0,400000.0,0.0002075,0.012048192771084338
101,Mali,113,2.0,19400000.0,5.824742268041237e-06,0.017699115044247787
102,Malta,103,0.0,500000.0,0.000206,0.0
103,Marshall Islands,37,0.0,60000.0,0.0006166666666666666,0.0
104,Mauritania,48,6.0,4500000.0,1.0666666666666667e-05,0.125
105,Mauritius,65,1.0,1300000.0,5e-05,0.015384615384615385
106,Mexico,1077,9.0,130800000.00000001,8.23394495412844e-06,0.008356545961002786
107,Moldova,423,0.0,3500000.0,0.00012085714285714286,0.0
108,Monaco,40,0.0,40000.0,0.001,0.0
109,Mongolia,92,2.0,3200000.0,2.875e-05,0.021739130434782608
110,Montenegro,72,1.0,600000.0,0.00012,0.013888888888888888
111,Morocco,206,2.0,35200000.0,5.852272727272727e-06,0.009708737864077669
112,Mozambique,58,0.0,30500000.0,1.9016393442622951e-06,0.0
113,Myanmar,236,7.0,53900000.0,4.37847866419295e-06,0.029661016949152543
114,Namibia,162,0.0,2500000.0,6.48e-05,0.0
115,Nauru,52,0.0,10000.0,0.0052,0.0
116,Nepal,357,1.0,29700000.0,1.202020202020202e-05,0.0028011204481792717
117,Netherlands,700,7.0,17200000.0,4.069767441860465e-05,0.01
118,New Zealand,783,12.0,4900000.0,0.00015979591836734694,0.01532567049808429
119,Nicaragua,114,1.0,6300000.0,1.8095238095238094e-05,0.008771929824561403
120,Niger,76,3.0,22200000.0,3.4234234234234234e-06,0.039473684210526314
121,Nigeria,677,2.0,195900000.0,3.4558448187850943e-06,0.0029542097488921715
122,Norway,656,8.0,5300000.0,0.00012377358490566037,0.012195121951219513
123,Pakistan,1023,19.0,200600000.0,5.099700897308076e-06,0.01857282502443793
124,Panama,108,5.0,4200000.0,2.5714285714285714e-05,0.046296296296296294
125,Papua New Guinea,160,6.0,8500000.0,1.8823529411764704e-05,0.0375
126,Paraguay,146,3.0,6900000.0,2.1159420289855072e-05,0.02054794520547945
127,Peru,350,1.0,32200000.000000004,1.0869565217391303e-05,0.002857142857142857
128,Philippines,504,20.0,107000000.0,4.710280373831776e-06,0.03968253968253968
129,Poland,776,13.0,38400000.0,2.0208333333333334e-05,0.01675257731958763
130,Portugal,320,3.0,10300000.0,3.1067961165048545e-05,0.009375
131,Qatar,50,2.0,2700000.0,1.8518518518518518e-05,0.04
132,Romania,343,39.0,19500000.0,1.758974358974359e-05,0.11370262390670553
133,Russia,877,29.0,147300000.0,5.953835709436524e-06,0.0330672748004561
134,Rwanda,104,1.0,12600000.0,8.253968253968254e-06,0.009615384615384616
135,San Marino,81,0.0,30000.0,0.0027,0.0
136,Sao Tome and Principe,21,0.0,200000.0,0.000105,0.0
137,Saudi Arabia,118,15.0,33400000.0,3.532934131736527e-06,0.1271186440677966
138,Senegal,42,2.0,16300000.0,2.576687116564417e-06,0.047619047619047616
139,Serbia,215,3.0,7000000.0,3.071428571428572e-05,0.013953488372093023
